date,pred_dir,spx_close,daily_change_pct,real_dir_class,rsi,bb_width,atr,trend_ema9,vix_close,vix_mean
2026-02-25,FLAT,6927.59,0.18,FLAT,54.22,0.0316,67.88,ABOVE_EMA9,18.77,19.13
2026-02-24,FLAT,6877.97,0.59,UP,48.72,0.0330,69.03,ABOVE_EMA9,21.28,19.17
2026-02-23,DOWN,6863.51,-0.55,DOWN,47.00,0.0334,69.23,BELOW_EMA9,19.92,18.96
2026-02-20,UP,6854.20,0.16,FLAT,45.92,0.0329,69.73,BELOW_EMA9,20.80,18.86
2026-02-19,DOWN,6867.32,0.09,FLAT,47.18,0.0321,72.50,BELOW_EMA9,20.47,18.67
2026-02-18,UP,6862.60,0.10,FLAT,46.69,0.0319,75.53,BELOW_EMA9,19.64,18.49
2026-02-17,DOWN,6822.85,0.04,FLAT,42.52,0.0346,78.15,BELOW_EMA9,21.91,18.37
2026-02-13,DOWN,6836.17,0.03,FLAT,43.58,0.0328,82.90,BELOW_EMA9,20.60,18.02
2026-02-12,DOWN,6832.76,-1.79,DOWN,43.24,0.0313,82.56,BELOW_EMA9,20.82,17.76
2026-02-11,UP,6941.47,-0.50,DOWN,52.53,0.0291,77.43,ABOVE_EMA9,17.65,17.45
2026-02-10,UP,6941.81,-0.47,DOWN,52.56,0.0295,77.12,ABOVE_EMA9,17.79,17.43
2026-02-09,DOWN,6964.82,0.69,UP,54.70,0.0301,79.26,ABOVE_EMA9,17.36,17.40
2026-02-06,UP,6932.30,1.70,UP,52.14,0.0302,79.65,ABOVE_EMA9,20.37,17.40
2026-02-05,FLAT,6798.40,-0.57,DOWN,38.93,0.0302,74.50,BELOW_EMA9,21.77,17.11
2026-02-04,FLAT,6882.72,-0.60,DOWN,46.42,0.0250,72.34,BELOW_EMA9,18.64,16.64
2026-02-03,FLAT,6917.81,-0.97,DOWN,50.15,0.0241,70.42,BELOW_EMA9,18.00,16.44
2026-02-02,UP,6976.44,0.86,UP,57.29,0.0244,65.76,ABOVE_EMA9,16.34,16.28
2026-01-30,UP,6939.03,-0.12,FLAT,53.36,0.0255,64.85,BELOW_EMA9,17.44,16.28
2026-01-29,UP,6969.01,-0.13,FLAT,57.29,0.0276,64.03,ABOVE_EMA9,16.88,16.16
2026-01-28,UP,6978.03,-0.34,DOWN,58.49,0.0271,59.57,ABOVE_EMA9,16.35,16.09
2026-01-27,UP,6978.60,0.18,FLAT,58.56,0.0261,61.17,ABOVE_EMA9,16.35,16.06
2026-01-26,FLAT,6950.23,0.39,UP,56.06,0.0249,62.90,ABOVE_EMA9,16.15,16.03
2026-01-23,UP,6915.61,0.11,FLAT,52.82,0.0246,63.97,ABOVE_EMA9,16.09,16.02
